company_slug,name,role,confirmed,source_url,source_date,in_role_since,bio
cap,Alejandro Enrique Götz,Presidente,true,https://www.riotimesonline.com/capex-s-a/,2026-04-01,,"La familia Götz controla CAPSA y, a través de ella, cerca del 75% de Capex. Götz preside las dos."
cgc,Hugo Eurnekian,President & CEO,true,https://cgc.energy/spanish/miembros-del-directorio/,2026-03-25,,CGC es parte del grupo Corporación América. Bajo su conducción la compañía impulsa un proyecto propio de GNL para exportar por Chile.
capex,Adolfo Storni,Gerente General,true,https://mase.lmneuquen.com/vaca-muerta/adolfo-storni-el-pozo-argentino-cuesta-50-mas-que-estados-unidos-n1237551,2026-04-01,,"Gerente general de Capex, con un MBA del IAE Austral. La presidencia de la compañía la ocupa Alejandro Götz, que también preside CAPSA, su controlante."
petrolera_el_trebol,Alan Arntsen,Presidente,true,https://www.boletinoficial.gob.ar/pdf/linkQR/c3NFeWtuQVd6aVYreFpJZ1U0d1UwZz09,2024-04-05,,
pcr,Martín Brandi,CEO,true,https://www.cronista.com/brand-strategy/la-historia-de-pcr-la-petrolera-patagonica-que-paso-a-ser-protagonista-en-energias-renovables/,2025-09-17,,
quintana_e_p_argentina_srl,Carlos Gilardone,President & CEO,true,https://www.mejorenergia.com.ar/noticias/2026/03/05/5173-quintana-energy-a-un-ano-de-gestion-en-estacion-fernandez-oro-otro-salto-de-escala-en-rio-negro,2026-03-05,,"Ingeniero. Conduce el grupo Quintana y también FDC, una consultora especializada en ingeniería de reservorios."
aconcagua,Pablo Iuliano,CEO,true,https://www.lanacion.com.ar/economia/negocios/aconcagua-energia-cierra-su-proceso-de-reestructuracion-nid29082025/,2026-08-27,,
crown_point,Brian Moss,Interim President and CEO,true,https://www.investing.com/news/company-news/crown-point-energy-appoints-interim-ceo-and-new-cfo-93CH-4389708,2025-12-03,,
clear_petroleum_sa,Juan Ignacio González Pedroso,Presidente,true,https://laopinionaustral.com.ar/videos/juan-ignacio-gonzlez-pedroso-presidente-de-clear-petroleumla-rebaja-de-regalas-es-un-aliciente-650350.html,2026-04-09,,
bentia_energy_sa,Javier Iguacel,CEO,true,https://www.mejorenergia.com.ar/noticias/2025/05/12/4133-cuenca-neuquina-como-es-la-estrategia-de-bentia-energy-para-crecer-desde-el-convencional,2025-06-26,,
patagonia_resources_sa,Leticia Torres,CEO,true,https://www.bnamericas.com/en/company-profile/patagonia-resources-sa,2026-01-06,,
roch_sa,Gustavo Albrecht,CEO,true,https://rocketreach.co/roch-profile_b5d6ed1df42e33df,2026-08-27,,
venoil_sa,Gustavo Naves,Presidente,true,https://www.shale24.com/oil-gas/la-formula-quintana-venoil-petroleos-sudamericanos-revivir-campos-maduros-bajar-lifting-cost-n1319,2026-08-27,,
petrolera_santa_maria_sau,Hugo Cabral,Presidente,true,https://www.lavanguardianoticias.com.ar/2026/06/04/g%C3%BCenchenen-y-petrolera-santa-maria-analizaron-inversiones-y-produccion-en-magallanes,2026-06-04,,
oilstone_energia_sa,Diego Garzón Duarte,CEO,true,https://www.oilstone.com.ar/management_sp.html,2025-12-01,,
recursos_y_energia_formosa_sa,Benjamín Villalba,Gerente General de REFSA,true,https://econojournal.com.ar/2026/04/energias-renovables-formosa-capta-us-147-millones-para-ampliar-su-capacidad-solar/,2026-04-03,,
geopark,Felipe Bayón,Chief Executive Officer,true,https://www.geo-park.com/es/press_releases/geopark-nombra-a-felipe-bayon-como-chief-executive-officer/,2026-08-27,,
hattrick_energy_sas,Nicolas Marot,Founder & CEO,true,https://rocketreach.co/hattrick-energy-profile_b717d693c4c70667,2026-08-27,,
brest_sa_de_servicios_petroleros,Hugo Eduardo Rodríguez,Fundador,false,https://brestsa.com.ar/,2011-01-01,2011,Empresario de Pico Truncado. Fundó Brest en 2011; es la única empresa de origen puramente santacruceño entre las premiadas del sector.
pampetrol_sapem,María de los Ángeles Roveda,Presidenta del Directorio,true,https://pampetrol.com/nosotros/directorio/,2026-09-01,,"Preside Pampetrol, la empresa petrolera de La Pampa. Desde noviembre de 2023 es además directora titular de YPF en representación de las provincias productoras."
edhipsa,Romina Rodriguez Luge,Presidente,true,https://www.anroca.com.ar/noticias/2026/09/01/221029-weretilneck-recorrio-vmos-la-obra-consolida-la-estacion-cabecera-en-allen,2026-09-01,,
madalena_energy_argentina_srl,Sebastián Guerrero,Gerente General,false,https://madalenaenergy.com/gobierno-corporativo/,2025-09-02,,
pilgrim_energy_sa,Fernando Giliberti,CEO,true,https://www.lanacion.com.ar/economia/negocios/cristobal-lopez-busca-quedarse-con-yacimientos-de-ypf-nid24072024/,2024-07-24,,
colhue_huapi_sa,Martha Olga Turín,Presidente,true,https://www.boletinoficial.gob.ar/pdf/linkQR/cmxsQ21UeVpBNVYreFpJZ1U0d1UwZz09,2020-06-22,,
ingenieria_alpa_sa,Ricardo Alberto Andriano,Presidente,true,https://ingenieria-alpa.com.ar/nosotros/,2026-04-01,,
copesa_cia_constructora_petrolera_sa,Leonardo Pichintiniz,Accionista,false,https://www.boletinoficial.gob.ar/pdf/linkQR/RzVzbzNpZE9PZEZSSFVTT1UybXlSUT09,2021-04-12,,
azruge_sa,Santiago Rafael Egurza,Socio fundador,true,https://econojournal.com.ar/2025/10/santa-cruz-seis-empresas-presentaron-una-sola-oferta-a-traves-de-una-ute-y-se-repartiran-las-areas-que-dejo-ypf/,2025-10-01,2023,Fundó Azruge en 2023 en Puerto Madryn junto con su hermano Hernán. La empresa opera el área convencional Cañadón Vasco.
medanito,Alejandro Emilio Carosio,Presidente,true,https://www.boletinoficial.gob.ar/detalleAviso/segunda/A831400/20190422,2018-04-17,2018-04,Preside Medanito desde el acta de directorio de abril de 2018.
jujuy_hidrocarburos_sau,Humberto Alejandro Insaurralde,Presidente,true,https://boletinoficial.jujuy.gob.ar/?p=212305,2021-04-26,2021-04,"Preside Jujuy Hidrocarburos, la empresa provincial de hidrocarburos, según el acta de directorio de abril de 2021."
alianza_petrolera_argentina_sa,Pedro Martínez Cereijo,CEO,true,https://noticias.santacruz.gob.ar/organismos/energia/alianza-petrolera-destaco-el-potencial-tecnologico-del-proyecto-para-explorar-sur-rio-deseado-este,2026-01-01,,"Conduce Alianza Petrolera, que impulsa junto con la canadiense Surcana Energy una técnica de perforación nueva para el Golfo San Jorge."
patagonia_energy_sa,Santiago Cichero,CEO,true,https://www.iprofesional.com/negocios/452271-central-puerto-adquiere-patagonia-energy-y-consolida-su-transformacion-integral,2026-01-01,,Fue gerente regional de GeoPark antes de asumir en Patagonia Energy. La compañía fue adquirida por Central Puerto en 2026.
petrolsur_energia_sa,Carlos Martínez,Presidente,true,https://www.linkedin.com/in/lic-carlos-mart%C3%ADnez-69410a14/,2026-08-27,,
fomicruz,Fernando Rodrigo Baños,Presidente,true,https://www.lavanguardianoticias.com.ar/nota-claudio-vidal-redefine-su-gabinete-nuevas-autoridades-en-mineria--pesca-y-comunicacion-desde-2026-118076,2026-01-01,,
g_y_g_oil_service_srl,Pablo Greco,Socio,true,https://www.mendoza.gov.ar/prensa/gg-adquirio-los-derechos-de-vega-grande-luego-de-que-emesa-recuperara-el-area-petrolera-mas-alta-del-pais/,2024-10-01,,"Socio de G y G Oil Service junto con Martín Guillén, los dos ingenieros. La empresa opera desde 1997 en Mendoza y en 2024 se quedó con los derechos del área Vega Grande."
geopetrol_drilling_sa,Juan C. Zanfagnini,Director ejecutivo,true,https://rocketreach.co/amaury-crombez-email_25581933,2026-08-27,,
interoil,Leandro Carbone,Chief Executive Officer and General Manager,true,https://dataportuaria.ar/nota/24739/interoil-anuncia-su-salida-de-argentina-y-vende-sus-activos-en-santa-cruz/,2026-06-03,,"Integra el equipo de conducción de Interoil Exploration & Production, la compañía noruega con operaciones en la Argentina y Colombia."
flxs_oge_sa,Ricardo Savini,CEO,true,https://www.energiaspatagonicas.com/?p=10546,2025-09-01,,
totalenergies,Sergio Martín Mengoni,Director General de Total Austral y Country Chair de TotalEnergies en Argentina,true,https://totalenergies.com/company/identity/governance/general-management,2026-08-27,,
